Watershed,Hname,Hectares,Acres,Date,Type,Year,Code,Comments
N4C,N4C,77.842,192.351,1990/4/7,PP,1990,N04C,
HQA,HQA,12.278,30.34,1990/4/11,PP,1990,0HQA,
HQB,HQB,14.922,36.873,1990/4/11,PP,1990,0HQB,
N1A,N1A,93.855,231.92,1990/4/11,PP,1990,N01A,
2B,2B,6.08,15.02,1990/4/12,PP,1990,002B,
R20B,1C,12.315,30.431,1990/4/12,PP,1990,001C,
SpB,4D,20.37,50.33,1990/4/14,PP,1990,004D,
1D,1D,41.55,102.67,1990/4/16,PP,1990,001D,
K2A,K2A,66.1,163.336,1990/4/16,PP,1990,K02A,
K1B,K1B,105.138,259.801,1990/4/16,PP,1990,K01B,
C3B,C1B,20,50,1990/4/18,PP,1990,C01B,
C3C,C1B,101.552,250.94,1990/4/18,PP,1990,C01A,
C1A,C4B,93.78,231.73,1990/4/18,PP,1990,C02B,
2D,2D,48.41,119.62,1990/4/18,PP,1990,002D,
R1B,4H,3.377,8.345,1990/4/18,PP,1990,004H,
HQC,HQC,17.483,43.201,1990/4/21,PP,1990,0HQC,
HQD,HQC,28.25,69.807,1990/4/21,PP,1990,0HQC,
20C,3B3UD,5.7,14.09,1990/4/23,PP,1990,033D,
N20A,N20A,82.978,205.043,1990/4/23,PP,1990,N20A,
C3SB,S3B,226.265,559.112,1990/4/30,PP,1990,S03B,
White Pasture,White Pasture,166.82,412.22,1990/4/30,PP,1990,WHIT,
Belowground Plots,Belowground Plots,1.45,3.58,1990/5/1,PP,1990,LTERBG,
HQD,HQC,28.25,69.807,1991/4/4,PP,1991,0HQC,
HQB,HQB,14.922,36.873,1991/4/4,PP,1991,0HQB,
HQC,HQC,17.483,43.201,1991/4/4,PP,1991,0HQC,
HQA,HQA,12.278,30.34,1991/4/4,PP,1991,0HQA,
WB,4G,12.33,30.46,1991/4/5,WU,1991,004G,
SuB,10D,15.63,38.62,1991/4/5,WU,1991,010D,
N20B,N20B,84.364,208.467,1991/4/5,WU,1991,N20B,
SuA,10C,11.06,27.32,1991/4/5,WU,1991,010C,
SuA,3U3BC,11.8,29.17,1991/4/5,WU,1991,033C,
WA,3U3BB,11.62,28.72,1991/4/5,WU,1991,033B,
K1B,K1B,105.138,259.801,1991/4/5,WP ,1991,K01B,
K1B,K4B,76.118,188.092,1991/4/5,WU,1991,K04B,
K2A,K2A,66.1,163.336,1991/4/5,WU,1991,K02A,
K4A,K4A,53.161,131.364,1991/4/5,WU,1991,K04A,
20B,20B/UC/4B,23.77,58.75,1991/4/5,WU,1991,020B,
N1A,N1A,93.855,231.92,1991/4/5,WP ,1991,N01A,
N1B,N1B,120.683,298.214,1991/4/5,WP ,1991,N01B,
N4D,N4D,135.45,334.704,1991/4/5,WU,1991,N04D,
N2B,N2B,118.781,293.514,1991/4/5,WU,1991,N02B,
N20A,N20A,82.978,205.043,1991/4/5,WP ,1991,N20A,
K20A,K20A,83.13,205.418,1991/4/5,WU,1991,K20A,
